"Date","Month.of.Observation","SST_39_anom","SST_44_anom"
1998-04-01,"APR",0.555958333333333,NA
1998-05-01,"MAY",1.39595652173913,0.285954545454546
1998-06-01,"JUN",1.40012,-0.289136363636365
1998-07-01,"JUL",0.594130434782608,1.34740909090909
1998-08-01,"AUG",-0.573458333333333,0.790227272727273
1998-09-01,"SEP",-0.28772,-0.265590909090911
1998-10-01,"OCT",0.224884615384616,0.179478260869564
1998-11-01,"NOV",-0.207615384615385,0.654041666666666
1998-12-01,"DEC",NA,-0.249000000000001
1999-01-01,"JAN",NA,-0.791333333333334
1999-02-01,"FEB",NA,-0.856736842105263
1999-03-01,"MAR",NA,-0.757899999999999
1999-04-01,"APR",NA,NA
1999-05-01,"MAY",NA,NA
1999-06-01,"JUN",NA,NA
1999-07-01,"JUL",NA,NA
1999-08-01,"AUG",NA,NA
1999-09-01,"SEP",NA,NA
1999-10-01,"OCT",-0.858115384615385,-2.18752173913044
1999-11-01,"NOV",-0.129615384615386,-0.865958333333333
1999-12-01,"DEC",-0.744076923076923,-0.555999999999999
2000-01-01,"JAN",-0.93416,-0.706333333333333
2000-02-01,"FEB",-0.0713333333333335,-0.185736842105264
2000-03-01,"MAR",-0.916666666666668,-0.232900000000001
2000-04-01,"APR",0.0989583333333339,-0.13565
2000-05-01,"MAY",0.00195652173912997,0.0219545454545447
2000-06-01,"JUN",0.564119999999999,-1.49913636363636
2000-07-01,"JUL",-0.722869565217392,-0.952590909090908
2000-08-01,"AUG",-1.65645833333333,-0.473772727272728
2000-09-01,"SEP",-0.110720000000001,-0.819590909090909
2000-10-01,"OCT",-0.664115384615384,-1.40952173913043
2000-11-01,"NOV",-0.921615384615386,-1.22195833333333
2000-12-01,"DEC",-0.0510769230769235,-0.913
2001-01-01,"JAN",-0.443160000000001,-0.387333333333334
2001-02-01,"FEB",-1.41333333333333,-0.581736842105263
2001-03-01,"MAR",-0.669666666666668,-0.5639
2001-04-01,"APR",-1.06204166666667,-0.83065
2001-05-01,"MAY",-0.72804347826087,-1.15204545454545
2001-06-01,"JUN",-0.521880000000001,-0.192136363636363
2001-07-01,"JUL",-1.25186956521739,-1.64259090909091
2001-08-01,"AUG",-0.202458333333334,0.491227272727272
2001-09-01,"SEP",-0.0617200000000011,-1.18959090909091
2001-10-01,"OCT",-1.03511538461538,-1.31352173913043
2001-11-01,"NOV",-0.862615384615385,-0.750958333333333
2001-12-01,"DEC",-0.593076923076923,NA
2002-01-01,"JAN",NA,NA
2002-02-01,"FEB",-0.472333333333333,-0.617736842105263
2002-03-01,"MAR",-0.477666666666668,-0.8469
2002-04-01,"APR",-0.560041666666667,-1.00165
2002-05-01,"MAY",-0.419043478260871,-0.992045454545455
2002-06-01,"JUN",-0.784880000000001,0.0678636363636365
2002-07-01,"JUL",-0.872869565217393,-0.832590909090909
2002-08-01,"AUG",-0.487458333333334,-1.62977272727273
2002-09-01,"SEP",-0.720720000000002,-1.59259090909091
2002-10-01,"OCT",-0.679115384615384,-2.38852173913044
2002-11-01,"NOV",-0.169615384615385,-0.954958333333334
2002-12-01,"DEC",0.322923076923077,0.962999999999999
2003-01-01,"JAN",0.82484,0.757666666666667
2003-02-01,"FEB",0.778666666666666,0.484263157894736
2003-03-01,"MAR",0.441333333333333,0.431100000000001
2003-04-01,"APR",0.382958333333333,0.0893499999999996
2003-05-01,"MAY",-0.631043478260871,0.375954545454546
2003-06-01,"JUN",-0.746880000000001,-0.377136363636364
2003-07-01,"JUL",-1.53086956521739,0.14940909090909
2003-08-01,"AUG",0.857541666666666,-0.0837727272727271
2003-09-01,"SEP",-0.80672,-1.97159090909091
2003-10-01,"OCT",-0.664115384615384,0.242478260869564
2003-11-01,"NOV",-0.855615384615385,-0.239958333333334
2003-12-01,"DEC",-0.147076923076924,0.0800000000000001
2004-01-01,"JAN",0.107839999999999,0.103666666666667
2004-02-01,"FEB",0.0826666666666664,0.0712631578947374
2004-03-01,"MAR",-0.153666666666668,0.3401
2004-04-01,"APR",0.442958333333333,0.363350000000001
2004-05-01,"MAY",0.89995652173913,1.70295454545455
2004-06-01,"JUN",-0.448880000000001,1.25586363636364
2004-07-01,"JUL",1.42713043478261,0.94440909090909
2004-08-01,"AUG",1.29654166666667,1.01422727272727
2004-09-01,"SEP",-0.648720000000001,1.51340909090909
2004-10-01,"OCT",-0.0061153846153843,0.171478260869565
2004-11-01,"NOV",0.0103846153846145,-0.510958333333333
2004-12-01,"DEC",-0.0490769230769246,-0.632
2005-01-01,"JAN",0.618839999999999,NA
2005-02-01,"FEB",0.995666666666667,NA
2005-03-01,"MAR",1.67033333333333,NA
2005-04-01,"APR",0.960958333333334,0.782350000000001
2005-05-01,"MAY",1.86095652173913,1.21495454545454
2005-06-01,"JUN",-0.0618800000000004,1.71286363636364
2005-07-01,"JUL",-0.0138695652173908,0.690409090909091
2005-08-01,"AUG",-0.681458333333333,-0.778772727272727
2005-09-01,"SEP",-0.905720000000001,-1.51159090909091
2005-10-01,"OCT",-0.370115384615383,-0.214521739130436
2005-11-01,"NOV",-0.337615384615384,-0.214958333333334
2005-12-01,"DEC",0.775923076923076,-0.324
2006-01-01,"JAN",1.03784,1.09866666666667
2006-02-01,"FEB",0.332666666666666,0.258263157894737
2006-03-01,"MAR",0.165333333333333,0.0740999999999996
2006-04-01,"APR",0.986958333333334,0.33235
2006-05-01,"MAY",NA,-0.374045454545454
2006-06-01,"JUN",NA,0.248863636363636
2006-07-01,"JUL",NA,-0.982590909090909
2006-08-01,"AUG",NA,-1.31777272727273
2006-09-01,"SEP",-1.55072,-0.219590909090909
2006-10-01,"OCT",0.538884615384616,-1.80852173913044
2006-11-01,"NOV",0.374384615384615,-0.461958333333333
2006-12-01,"DEC",-0.141076923076923,0.0899999999999999
2007-01-01,"JAN",-0.82816,-0.659333333333334
