"Age","Female (N)","Female (%)","Male (N)","Male (%)","Unid. (N)","Unid. (%)"
"Pup","7062","45","7602","49","992","6"
"Yearling","2005","40","2497","49","555","11"
"Subadult","1027","25","2677","65","419","10"
"Adult","3389","64","1469","28","455","9"
"Unid","462","13","435","12","2779","76"
NA,"--","37.4","--","40.6","--","22.4"
