"Age","All Strandings (%)","Prevalence of HI (%)","Fisheries Interactions (%)","Gunshots (%)","Boat Injuries (%)","Other (%)"
"Pup",46,5,41,3,1,56
"Yearling",15,9,68,10,2,20
"Subadult",12,9,47,21,3,29
"Adult",16,6,37,38,2,23
"Unid",11,11,17,3,2,79
