"Species","Number","Percent"
"California sea lion",24841,73
"Guadalupe fur seal",275,1
"Harbor seal",2802,8
"Northern elephant seal",4625,14
"Northern fur seal",469,1
"Steller sea lion",153,0
"Unidentified",660,2
