"Sex","All Strandings (%)","Prevalence of HI (%)","Fisheries Interactions (%)","Gunshots (%)","Boat Injuries (%)","Other (%)"
"Female",41,6,51,11,1,37
"Male",43,7,48,17,2,33
"Unid",15,8,16,2,2,81
