National Database Number,Field Number,Nmfs Regional Number,Confidence Code,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,Country,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Group Event Number,Group Event Flag,Mass Stranding Number,Group Type: Cow Calf Pair,Group Type: Mass Stranding,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,SW Fishery Type,Other Human Interaction,Other Human Int Description,SW Other Human Int Type,Gear Collection Flag,Gear Disposition Flag,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury Flag,Other Findings - Pregnant Flag,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Status,Condition at Examination,Left at Site,Immediate Release at Site,Relocated Flag,Disentangled Flag,Euthanized at Site Flag,Died at Site Flag,Transferred to Rehabilitation,Sick Flag,Injured Flag,Out of Habitat Flag,Deemed Healthy/Releasable Flag,Abandoned/Orphaned Flag,Inaccesible Flag,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD Flag,Entangled Flag,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate
NW-2016-1191775,HMSC16-09-25-Pv,16NWR09048,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Waldport,Lincoln,OR,Pacific Ocean,"About 1/4 mi. south of Little Creek, Waconda Beach",44.387694,dd.dddd,,124.09,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-SEP-25,2016,SEP,25,Beach or Land,Advanced Decomposition,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,PUP/CALF,0,cm,estimate,0,lb,estimate
NW-2016-1193659,HMSC16-08-31-Pv,16NWR08119,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,United States,Waldport,Lincoln,OR,Pacific Ocean,Big Stump beach,44.393617,decimal degrees,,124.088842,decimal degrees,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,N,N,2016-AUG-31,2016,AUG,31,Beach or Land,Moderate Decomposition,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,PUP/CALF,30,in,estimate,0,lb,estimate
NW-2016-1191727,HMSC16-08-08-Zc,16NWR08050,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Waldport,Lincoln,OR,Pacific Ocean,between Patterson Park and Sandcastle Inn,44.408054,dd.dddd,,124.087026,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,N,N,2016-AUG-08,2016,AUG,8,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,72,in,estimate,0,lb,estimate
NW-2016-1191723,HMSC16-10-22-Zc,16NWR10010,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Waldport,Lincoln,OR,Pacific Ocean,Just south of Sandcastle Inn,44.4,dd.dddd,,124.087,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,N,N,2016-OCT-22,2016,OCT,22,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,84,in,estimate,0,lb,estimate
NW-2016-1188572,HMSC16-06-09-At,16NWR06025,Confirmed - High Report,"Seal, Guadalupe fur",Arctocephalus,townsendi,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Waldport,Lincoln,OR,Pacific Ocean,south of Patterson State Park,44.406426,dd.dddd,,124.086874,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-JUN-09,2016,JUN,9,Beach or Land,Fresh Dead,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,FEMALE,YEARLING,81.5,cm,actual,15,lb,actual
NW-2016-1192697,HMSC16-11-29-Sc,16NWR11025,Confirmed - High Report,"Dolphin, striped",Stenella,coeruleoalba,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Waldport,Lincoln,OR,Pacific Ocean,"near sign #67 C, Bayshore",44.431214,dd.dddd,,124.0849,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-NOV-29,2016,NOV,29,Beach or Land,Alive,Alive,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,,FEMALE,ADULT,210,cm,estimate,0,lb,estimate
NW-2016-1181537,HMSC16-01-18-Zc-2,16NWR01009,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Waldport,Lincoln,OR,Pacific Ocean,north of access to Patterson State Park,44.415509,dd.dddd,,124.08418,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,N,N,2016-JAN-18,2016,JAN,18,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,0,cm,estimate,0,lb,estimate
NW-2016-1188752,HMSC16-03-04-Zc,16NWR03039,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Waldport,Lincoln,OR,Pacific Ocean,"in front of 122 Oceania Drive, Bayshore",44.427645,dd.dddd,,124.084119,dd.dddd,,GPS,N,,N,,N,N,CBD,N,Y,N,,N,,,N,,Y,N,Y,N,2016-MAR-04,2016,MAR,4,Beach or Land,Alive,Fresh Dead,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,MALE,YEARLING,151,cm,actual,0,lb,estimate
NW-2016-1188639,HMSC16-02-09-Ufs,16NWR02012,Confirmed - High Report,"Seal, unidentifed fur",,,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Waldport,Lincoln,OR,Pacific Ocean,near access #67 at 2300 Oceania. Bayshore,44.443032,dd.dddd,,124.083311,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,N,N,2016-FEB-09,2016,FEB,9,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,200,cm,actual,0,lb,estimate
NW-2016-1192685,HMSC16-10-31-Zc,16NWR10033,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Seal Rock,Lincoln,OR,Pacific Ocean,about 1/2 mile north of Driftwood State Park,44.470554,dd.dddd,,124.082539,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,N,N,2016-OCT-31,2016,OCT,31,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,84,in,estimate,0,lb,estimate
NW-2016-1192679,HMSC16-10-18-Sc,16NWR10027,Confirmed - High Report,"Dolphin, striped",Stenella,coeruleoalba,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Seal Rock,Lincoln,OR,Pacific Ocean,about 400 yards north of Sandpiper Village,44.457823,dd.dddd,,124.082446,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,Y,N,2016-OCT-18,2016,OCT,18,Beach or Land,Fresh Dead,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,200,cm,estimate,87,kg,actual
NW-2016-1188620,HMSC16-04-20-Zc,16NWR04021,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Seal Rock,Lincoln,OR,Pacific Ocean,"Driftwood Beach State Park,, south of access at signt #66",44.466469,dd.dddd,,124.082368,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,N,N,2016-APR-20,2016,APR,20,Beach or Land,Moderate Decomposition,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,84,in,estimate,0,lb,estimate
NW-2016-1191759,HMSC16-06-11-Pv-2,16NWR06083,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Waldport,Lincoln,OR,Pacific Ocean,"near Canard and Oceania, Bayshore",44.44853,dd.dddd,,124.082354,dd.dddd,,Internet,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,N,N,2016-JUN-11,2016,JUN,11,Beach or Land,Condition Unknown,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,PUP/CALF,26,in,estimate,0,lb,estimate
NW-2016-1188683,HMSC16-04-05-Pv,16NWR04037,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Waldport,Lincoln,OR,Pacific Ocean,"south side of Alsea river mouth, near Adahi St",44.420084,dd.dddd,,124.082229,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,Y,N,N,2016-APR-05,2016,APR,5,Beach or Land,Alive,Fresh Dead,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,,MALE,ADULT,140,cm,actual,68,kg,actual
NW-2016-1188677,HMSC16-02-19-Zc,16NWR02020,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Seal Rock,Lincoln,OR,Pacific Ocean,just south of Curtis Street access,44.508469,dd.dddd,,124.08076,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-FEB-19,2016,FEB,19,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,78,in,estimate,0,lb,estimate
NW-2016-1191708,HMSC16-07-26-Ej,16NWR07114,Confirmed - High Report,"Sea lion, Steller",Eumetopias,jubatus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Seal Rock,Lincoln,OR,Pacific Ocean,between Ona Beach and Curtis St access,44.513175,dd.dddd,,124.080148,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-JUL-26,2016,JUL,26,Beach or Land,Fresh Dead,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,265,cm,actual,0,lb,estimate
NW-2016-1192714,HMSC16-05-18-Pv-3,16NWR05078,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Waldport,Lincoln,OR,Pacific Ocean,"south side of entrance to Alsea Bay, below Waziata Ave",44.419647,dd.dddd,,124.079872,dd.dddd,,GPS,N,,N,,N,N,Y,N,Y,N,,N,,,N,,N,N,Y,N,2016-MAY-18,2016,MAY,18,Beach or Land,Alive,Moderate Decomposition,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,,FEMALE,PUP/CALF,24,in,estimate,0,lb,estimate
NW-2016-1188714,HMSC16-05-25-At,16NWR05043,Confirmed - High Report,"Seal, Guadalupe fur",Arctocephalus,townsendi,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Waldport,Lincoln,OR,Pacific Ocean,below Waziyata Ave,44.420134,dd.dddd,,124.079648,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-MAY-25,2016,MAY,25,Beach or Land,Moderate Decomposition,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,YEARLING,87,cm,actual,11,lb,actual
NW-2016-1191686,HMSC16-06-19-Pv,16NWR06071,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Depoe Bay,Lincoln,OR,Pacific Ocean,found floating off Cape Foulweather,44.772362,dd.dddd,,124.078174,dd.dddd,,Internet,N,,N,,N,N,Y,N,Y,N,,N,,,N,,Y,N,Y,N,2016-JUN-19,2016,JUN,19,Floating,Moderate Decomposition,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,FEMALE,PUP/CALF,0,cm,estimate,0,lb,estimate
NW-2016-1181536,HMSC16-01-18-Pv,16NWR01008,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Waldport,Lincoln,OR,Pacific Ocean,"on the north shore of Alsea Bay, between the hotel and the bridge",44.432817,dd.dddd,,124.077659,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,N,N,2016-JAN-18,2016,JAN,18,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,0,cm,estimate,0,lb,estimate
NW-2016-1188657,PSU16-05-16-Ej,16NWR05024,Confirmed - High Report,"Sea lion, Steller",Eumetopias,jubatus,Validated,Debbie Duffield,Portland State University,Portland State University,NW,,Ilwaco,Pacific,WA,Pacific,southern end of Benson Beach at Cape Disappointment State Park,46.2866,dd.dddd,actual,124.07724,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,Y,Y,N,2016-MAY-16,2016,MAY,16,Beach or Land,Moderate Decomposition,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,YEARLING,131.5,cm,actual,0,kg,estimate
NW-2016-1188578,HMSC16-03-19-Pv,16NWR03022,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Newport,Lincoln,OR,Pacific Ocean,"Cobble Beach, Yaquina Head",44.674872,dd.dddd,,124.077206,dd.dddd,,Internet,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-MAR-19,2016,MAR,19,Beach or Land,Fresh Dead,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,PUP/CALF,24,in,estimate,0,lb,estimate
NW-2016-1191773,HMSC16-09-25-Pv-2,16NWR09046,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Newport,Lincoln,OR,Pacific Ocean,"Cobble Beach, Yaquina Head",44.674902,dd.dddd,,124.077192,dd.dddd,,Internet,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-SEP-25,2016,SEP,25,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,PUP/CALF,0,cm,estimate,0,lb,estimate
NW-2016-1188668,PSU16-04-30-Zc,16NWR04033,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Debbie Duffield,Portland State University,Portland State University,NW,,Ilwaco,Pacific,WA,Pacific,Benson Beach at Cape Disappointment State Park,46.29216,dd.dddd,actual,124.07626,dd.dddd,,GPS,N,,N,,N,N,Y,N,Y,N,,N,,,Y,evidence collected from carcass by NOAA/NMFS Enforcement,Y,N,Y,N,2016-APR-30,2016,APR,30,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,228.5,cm,actual,0,kg,estimate
NW-2016-1191688,PSU16-07-03-Pv,16NWR07094,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,Validated,Debbie Duffield,Portland State University,Portland State University,NW,United States,Ilwaco,Pacific,WA,Pacific,Benson Beach at Cape Disappointment State Park,46.29208,decimal degrees,actual,124.07605,decimal degrees,actual,GPS,N,,N,,N,N,Y,N,Y,N,,N,,,N,,Y,N,Y,N,2016-JUL-03,2016,JUL,3,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,FEMALE,ADULT,130.5,cm,actual,0,kg,estimate
NW-2016-1192692,HMSC16-11-19-Zc,16NWR11020,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,South Beach,Lincoln,OR,Pacific Ocean,"about 1/4 mile north of Beaver Creek, Brian Booth State Park",44.526619,dd.dddd,,124.076024,dd.dddd,,Internet,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-NOV-20,2016,NOV,20,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,84,in,estimate,0,lb,estimate
NW-2016-1188705,HMSC16-06-27-Zc,16NWR06040,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,South Beach,Lincoln,OR,Pacific Ocean,at about 144th St,44.534557,dd.dddd,,124.075695,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,N,N,2016-JUN-27,2016,JUN,27,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,84,in,estimate,0,lb,estimate
NW-2016-1191691,PSU16-07-06-Ma,16NWR07097,Confirmed - High Report,"Seal, northern elephant",Mirounga,angustirostris,Validated,Debbie Duffield,Portland State University,Portland State University,NW,,Ilwaco,Pacific,WA,Pacific,Deadman's Hollow at Cape Disappointment State Park,46.29641,dd.dddd,estimate,124.07547,dd.dddd,,Internet,N,,N,,N,N,CBD,N,N,N,,N,,,N,,CBD,N,N,N,2016-JUL-06,2016,JUL,6,Beach or Land,Mummified/Skeletal,Mummified/Skeletal,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,UNKNOWN,0,cm,estimate,0,kg,
NW-2016-1192707,HMSC16-03-11-Up,16NWR03051,Confirmed - Minimum,unidentified pinniped,,,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Seal Rock,Lincoln,OR,Pacific Ocean,"Ona Beach, next to bridge",44.521666,dd.dddd,,124.074845,dd.dddd,,Internet,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,N,N,2016-MAR-11,2016,MAR,11,Beach or Land,Advanced Decomposition,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,UNKNOWN,0,cm,estimate,0,lb,estimate
NW-2016-1191809,PSU16-08-24A-Pv,16NWR08071,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,Validated,D. Duffield,Portland State University,Portland State University,NW,United States,Seaview,Pacific,WA,Pacific Ocean,Beards Hollow,46.30262,decimal degrees,estimate,124.07442,decimal degrees,estimate,Internet,N,,N,,N,N,Y,N,N,Y,,N,see below,,N,,Y,Y,Y,N,2016-AUG-24,2016,AUG,24,Beach or Land,Moderate Decomposition,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,138,cm,actual,,,
NW-2016-1192686,HMSC16-11-08-Zc-2,16NWR11014,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,South Beach,Lincoln,OR,Pacific Ocean,a few hundred yards south of Lost Creek,44.542195,dd.dddd,,124.074325,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-NOV-08,2016,NOV,8,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,84,cm,estimate,0,lb,estimate
NW-2016-1192696,HMSC16-11-29-Zc,16NWR11024,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,South Beach,Lincoln,OR,Pacific Ocean,just south of the Lost Creek vehicle access,44.54329,dd.dddd,,124.074074,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,Y,N,N,2016-NOV-29,2016,NOV,29,Beach or Land,Alive,Alive,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,UNKNOWN,YEARLING,50,in,estimate,0,lb,estimate
NW-2016-1188755,HMSC16-03-29-Pv,16NWR03042,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Waldport,Lincoln,OR,Pacific Ocean,"Keady Wayside, south end of sea wall",44.42161,dd.dddd,,124.0738,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-MAR-29,2016,MAR,29,Beach or Land,Alive,Fresh Dead,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,MALE,PUP/CALF,75,cm,actual,14,lb,actual
NW-2016-1188650,HMSC16-06-27-Zc-2,16NWR06032,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,United States,South Beach,Lincoln,OR,Pacific Ocean,near 116th St,44.55419,decimal degrees,,124.072571,decimal degrees,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-JUN-27,2016,JUN,27,Beach or Land,Advanced Decomposition,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,60,in,estimate,0,lb,estimate
NW-2016-1191703,HMSC16-07-23-Zc,16NWR07109,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,South Beach,Lincoln,OR,Pacific Ocean,near SW 97th St,44.568306,dd.dddd,,124.072232,dd.dddd,,Internet,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,N,N,2016-JUL-23,2016,JUL,23,Beach or Land,Alive,Alive,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,,MALE,ADULT,72,in,estimate,0,lb,estimate
NW-2016-1188597,HMSC16-01-28-Zc,16NWR01021,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,Newport,Lincoln,OR,Pacific Ocean,"Quarry Cove, Yaquina Head",44.673381,dd.dddd,,124.071627,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,Y,N,2016-JAN-28,2016,JAN,28,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,84,cm,estimate,0,lb,estimate
NW-2016-1191757,PSU16-06-07-Er,16NWR06081,Confirmed - High Report,"Whale, gray",Eschrichtius,robustus,Validated,Debbie Duffield,Portland State University,Portland State University,NW,,Ocean Park,Pacific,WA,Pacific,"5.3 miles north of the Oysterville Road access, Leadbetter Point State Park",46.62455,dd.dddd,actual,124.07146,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,N,N,2016-JUN-07,2016,JUN,7,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,PUP/CALF,636,cm,actual,0,kg,
NW-2016-1188736,PSU16-04-10-Lb,16NWR04044,Confirmed - High Report,"Dolphin, northern right whale",Lissodelphis,borealis,Validated,Debbie Duffield,Portland State University,Portland State University,NW,,Seaview,Pacific,WA,Pacific,1.5 miles south of 38th Place access,46.31084,dd.dddd,actual,124.07115,dd.dddd,,GPS,N,,N,,N,N,Y,N,N,Y,,N,,,N,,Y,N,Y,N,2016-APR-10,2016,APR,10,Beach or Land,Alive,Fresh Dead,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,,MALE,SUBADULT,202,cm,actual,0,kg,estimate
NW-2016-1191692,HMSC16-07-09-Pv,16NWR07098,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,Validated,Jim Rice,"Marine Mammal Institute, OSU","Marine Mammal Institute, OSU",NW,,South Beach,Lincoln,OR,Pacific Ocean,near SW 86th; then at north jetty; then in front of Hallmark resort,44.576241,dd.dddd,,124.0703,dd.dddd,,Internet,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,Y,N,2016-JUL-09,2016,JUL,9,Beach or Land,Alive,Alive,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,UNKNOWN,PUP/CALF,30,in,estimate,0,lb,estimate
NW-2016-1188665,PSU16-04-26-Pv,16NWR04030,Confirmed - High Report,"Seal, harbor",Phoca,vitulina,Validated,Debbie Duffield,Portland State University,Portland State University,NW,,Seaview,Pacific,WA,Pacific,0.8 mile south of 38th Place access,46.31992,dd.dddd,actual,124.06977,dd.dddd,,GPS,N,,N,,N,N,Y,N,Y,N,,N,,,N,,Y,N,Y,N,2016-APR-26,2016,APR,26,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,FEMALE,ADULT,144.4,cm,actual,0,kg,estimate
NW-2016-1191690,PSU16-07-03-Zc,16NWR07096,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Debbie Duffield,Portland State University,Portland State University,NW,,Seaview,Pacific,WA,Pacific,one mile south of 38th Street access,46.31741,dd.dddd,actual,124.06976,dd.dddd,,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,N,,Y,N,Y,N,2016-JUL-03,2016,JUL,3,Beach or Land,Mummified/Skeletal,Mummified/Skeletal,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,230,cm,estimate,0,,
NW-2016-1193422,PSU16-12-07-Pv,16NWR12020,Confirmed - Medium Report,"Seal, harbor",Phoca,vitulina,OPEN,Debbie Duffield,Portland State University,Portland State University,NW,United States,Ocean Park,Pacific,WA,Pacific Ocean,"one mile north of ""I"" Street, Leadbetter Point State Park",46.60129,decimal degrees,estimate,124.0689,decimal degrees,estimate,Internet,N,,N,,N,N,CBD,N,N,N,,N,,,,,Y,N,N,N,2016-DEC-07,2016,DEC,7,Beach or Land,Alive,Alive,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,,UNKNOWN,PUP/CALF,0,cm,estimate,,,
