National Database Number,Field Number,Nmfs Regional Number,Confidence Code,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,Country,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Group Event Number,Group Event Flag,Mass Stranding Number,Group Type: Cow Calf Pair,Group Type: Mass Stranding,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,SW Fishery Type,Other Human Interaction,Other Human Int Description,SW Other Human Int Type,Gear Collection Flag,Gear Disposition Flag,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury Flag,Other Findings - Pregnant Flag,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Status,Condition at Examination,Left at Site,Immediate Release at Site,Relocated Flag,Disentangled Flag,Euthanized at Site Flag,Died at Site Flag,Transferred to Rehabilitation,Sick Flag,Injured Flag,Out of Habitat Flag,Deemed Healthy/Releasable Flag,Abandoned/Orphaned Flag,Inaccesible Flag,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD Flag,Entangled Flag,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate
NW-2016-1193458,WDFW2016-114,16NWR08106,Confirmed- Medium Report,"Seal, harbor",Phoca,vitulina,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,United States,Ocean Shore,Grays Harbor,WA,Pacific Ocean,~ 3 off Ocean Shores,47.0326,decimal degrees,estimate,125,decimal degrees,estimate,,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-AUG-28,2016,AUG,28,Swimming,Alive,Alive,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,PUP/CALF,90,cm,estimate,13,kg,estimate
NW-2016-1193369,MKH2016-024,16NWR10041,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,Hobuck Beach,48.3291,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,,2016-OCT-10,2016,OCT,10,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,ADULT,160,cm,actual,,,
NW-2016-1193356,MKH2016-009,16NWR06096,Confirmed- Medium Report,"Sea lion, Steller",Eumetopias,jubatus,Validated,Quinton Thompson,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,Tsoo-Yess Beach,48.3113,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,N,2016-JUN-15,2016,JUN,15,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,320,cm,actual,,,
NW-2016-1193360,MKH2016-014,16NWR08083,Confirmed- Medium Report,"Sea lion, Steller",Eumetopias,jubatus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,Point of the Arches,48.247,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,N,N,N,N,,N,,,,,,,N,,2016-AUG-24,2016,AUG,24,Beach or Land,Moderate Decomposition,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,275,cm,estimate,,,
NW-2016-1193352,MKH2016-004,16NWR04078,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Quinton Thompson,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Strait of Juan de Fuca,3rd Beach,48.3678,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,N,2016-APR-27,2016,APR,27,Beach or Land,Fresh Dead,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,PUP/CALF,52,cm,actual,,,
NW-2016-1193368,MKH2016-023,16NWR09078,Confirmed - High Report,"Sea lion, California",Zalophus,californianus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,United States,Neah Bay,Clallam,WA,Pacific Ocean,Tsoo-Yess Beach,48.3008,decimal degrees,estimate,125,decimal degrees,estimate,,N,,N,,N,N,CBD,N,N,N,,N,,,N,,N,N,N,N,2016-SEP-18,2016,SEP,18,Beach or Land,Moderate Decomposition,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,0,cm,estimate,,,
NW-2016-1193376,MKH2016-010,16NWR06098,Confirmed- High Report,"Seal, harbor",Phoca,vitulina,Validated,Quinton Thompson,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,Tsoo-Yess Beach,48.2966,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,N,N,N,N,,N,,,,,,,N,N,2016-JUN-16,2016,JUN,16,Beach or Land,Alive,Alive,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,UNKNOWN,PUP/CALF,,,,,,
NW-2016-1193358,MKH2016-012,16NWR07122,Confirmed- Medium Report,"Sea lion, Steller",Eumetopias,jubatus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,Sea Lion Rock,47.993,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,N,N,N,N,,N,,,,,,,,,2016-JUL-21,2016,JUL,21,Floating,Moderate Decomposition,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,PUP/CALF,,,,,,
NW-2016-1193366,MKH2016-021,16NWR09076,Confirmed- High Report,"Sea lion, Steller",Eumetopias,jubatus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,Tsoo-Yess Beach,48.3213,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,N,2016-SEP-12,2016,SEP,12,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,300,cm,estimate,,,
NW-2016-1193371,MKH2016-027,16NWR11036,Confirmed- Medium Report,"Sea lion, Steller",Eumetopias,jubatus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Strait of Juan de Fuca,West of Neah Bay breakwater,48.3833,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,N,2016-NOV-01,2016,NOV,1,Beach or Land,Moderate Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,300,cm,estimate,,,
NW-2016-1193149,CRC-1573Fetus,16NWR10036,Confirmed- High Report,"Whale, Blainville's beaked",Mesoplodon,densirostris,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,,Neah Bay,Clallam,WA,Pacific Ocean,"Makah Bay, Tsoo-yess beach",48.3311,dd.dddd,actual,125,dd.dddd,actual,GPS,N,,N,,N,N,N,N,N,N,,N,,,,,,,N,N,2016-OCT-09,2016,OCT,9,Beach or Land,Fresh Dead,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,PUP/CALF,111,cm,actual,14,kg,actual
NW-2016-1193367,MKH2016-022,16NWR09077,Confirmed- High Report,"Sea lion, Steller",Eumetopias,jubatus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,United States,Neah Bay,Clallam,WA,Pacific Ocean,Tsoo-Yess,48.3091,decimal degrees,estimate,125,decimal degrees,estimate,,N,,N,,N,N,N,N,N,N,,N,,,N,,N,N,N,N,2016-SEP-12,2016,SEP,12,Beach or Land,Moderate Decomposition,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,312,cm,actual,,,
NW-2016-1193148,CRC-1573,16NWR10035,Confirmed- High Report,"Whale, Blainville's beaked",Mesoplodon,densirostris,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,,Neah Bay,Clallam,WA,Pacific Ocean,"Tsoo-yess beach, Makah Bay",48.3118,dd.dddd,actual,125,dd.dddd,actual,GPS,N,,N,,N,N,Y,N,N,Y,,N,,,,,Y,,Y,Y,2016-OCT-09,2016,OCT,9,Beach or Land,Fresh Dead,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,FEMALE,ADULT,431,cm,actual,,,
NW-2016-1193353,MKH2016-006,16NWR05083,Confirmed- Medium Report,"Seal, harbor",Phoca,vitulina,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Strait of Juan de Fuca,,48.3936,dd.dddd,actual,125,dd.dddd,actual,GPS,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,,2016-MAY-10,2016,MAY,10,Floating,Fresh Dead,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,ADULT,,,,,,
NW-2016-1193378,MKH2016-026,16NWR10043,Confirmed- Medium Report,"Sea lion, California",Zalophus,californianus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,First reported 200 yards up the Wa'atch River,48.3438,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,N,2016-OCT-19,2016,OCT,19,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,180,cm,estimate,,,
NW-2016-1193365,MKH2016-020,16NWR09075,Confirmed- Medium Report,"Sea lion, California",Zalophus,californianus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,East Bodelteh Island,48.1723,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,,2016-SEP-07,2016,SEP,7,Beach or Land,Moderate Decomposition,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,,,,,,
NW-2016-1193354,MKH2016-007,16NWR05084,Confirmed- Medium Report,"Sea lion, Steller",Eumetopias,jubatus,Validated,Quinton Thompson,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Strait of Juan de Fuca,Waadah Island harbor seal haulout,48.3813,dd.dddd,actual,125,dd.dddd,actual,GPS,N,,N,,N,N,N,N,N,N,,N,,,,,Y,,Y,N,2016-MAY-05,2016,MAY,5,Beach or Land,Alive,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,300,cm,estimate,725,kg,estimate
NW-2016-1193350,MKH2016-002,16NWR03054,Confirmed- High Report,"Seal, northern elephant",Mirounga,angustirostris,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,Hobuck Beach north of Janine's house,48.3411,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,N,N,N,N,,N,,,,,,,N,N,2016-MAR-15,2016,MAR,15,Beach or Land,Alive,Alive,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,UNKNOWN,,,,,,,
NW-2016-1193361,MKH2016-016,16NWR09071,Confirmed- Medium Report,"Porpoise, harbor",Phocoena,phocoena,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,Hobuck Beach,48.3403,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,,2016-SEP-05,2016,SEP,5,Beach or Land,Moderate Decomposition,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,
NW-2016-1193375,MKH2016-005,16NWR04079,Confirmed- High Report,"Sea lion, Steller",Eumetopias,jubatus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,Hobuck Beach near RV camp,48.3321,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,N,N,N,N,,N,,,,,,,N,N,2016-APR-24,2016,APR,24,Beach or Land,Moderate Decomposition,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,UNKNOWN,YEARLING,152,cm,actual,,,
NW-2016-1193377,MKH2016-015,16NWR08084,Confirmed- Medium Report,"Sea lion, Steller",Eumetopias,jubatus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,Tsoo-Yess Beach,48.3198,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,,2016-AUG-31,2016,AUG,31,,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,,,,,,
NW-2016-1193355,MKH2016-008,16NWR06095,Confirmed- Medium Report,"Sea lion, California",Zalophus,californianus,Validated,Jonathan Scordino,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,East Bodelteh Island,48.1753,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,,2016-JUN-01,2016,JUN,1,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,,,,,,
NW-2016-1193357,MKH2016-011,16NWR06097,Confirmed- Medium Report,"Sea lion, California",Zalophus,californianus,Validated,Quinton Thompson,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,Hobuck Beach,48.333,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,,2016-JUN-17,2016,JUN,17,Beach or Land,Advanced Decomposition,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,ADULT,235,cm,estimate,,,
NW-2016-1193349,MKH2016-001,16NWR01036,Confirmed- Medium Report,"Sea lion, Steller",Eumetopias,jubatus,Validated,Quinton Thompson,Makah Fisheries Management,Makah Fisheries Management,NW,,Neah Bay,Clallam,WA,Pacific Ocean,Between Hobuck campground and road access.,48.3358,dd.dddd,estimate,125,dd.dddd,estimate,Internet/Software,N,,N,,N,N,CBD,N,N,N,,N,,,,,,,,,2016-JAN-20,2016,JAN,20,Beach or Land,Moderate Decomposition,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,MALE,SUBADULT,148,cm,estimate,,,
