"National.Database.Number","Field.Number","Common.Name","Genus","Species","Affiliation","Country","City","County","State","Locality.Detail","Latitude","Longitude","Restrand","Findings.of.Human.Interaction","Boat.Collision","Shot","Fishery.Interaction","Other.Human.Interaction","Other.Human.Int.Description","Gear.Collection.Flag","Gear.Disposition.Flag","Other.Findings.upon.Level.Y.N","Other.Findings...Illness.Flag","Other.Findings...Injury.Flag","Other.Findings...Pregnant.Flag","Year.of.Observation","Month.of.Observation","Day.of.Observation","How.Observed","Observation.Status","Disentangled.Flag","Sick.Flag","Injured.Flag","Out.of.Habitat.Flag","Abandoned.Orphaned.Flag","Location.Hazardous.to.Animal","Location.Hazardous.Public","Entangled.Flag","Sex","Age.Class","Length","Length.Units","Weight","Weight.Units","Necropsied.Flag","City...from.strandings.table","Mammal.Type","Interaction.Type","Pinniped.Common.Name"
"NW-2011-1142270","WDFW2011-202","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Aberdeen","Grays Harbor","WA","Behind Top Foods",46.9761,-123.8015,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"DEC",1,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",42,"in",80,"lb","N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142183","WDFW2011-196","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Aberdeen","Grays Harbor","WA","Behind Walmart and Wishkah Mall",46.9749,-123.8051,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"DEC",9,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",36,"in",NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142274","WDFW2011-197","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Aberdeen","Grays Harbor","WA","Behind Wishkah Mall and Walmart",46.9749,-123.8051,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"DEC",9,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",NA,NA,NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132575","WDFW2010-197","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Aberdeen","Grays Harbor","WA","Morris Park",46.976,-123.811,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"NOV",17,"Floating","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",120,"cm",NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1179528","WDFW2015-044","Sea lion, Steller","Eumetopias","jubatus","WDFW/MMI",NA,"Aberdeen","Grays Harbor","WA","Chehalis River Red Bouy",46.96,-123.92,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2015,"JUN",24,"Floating","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Subadult",240,"cm",250,"kg","N",NA,"Pinniped","NA","Steller sea lion"
"NW-2012-1152430","WDFW2012-056","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Aberdeen","Grays Harbor","WA","Whalebone way",46.8638,-124.0638,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2012,"MAY",20,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Male","Unid",NA,NA,NA,NA,"N",NA,"Pinniped","NA","California sea lion"
"NW-2007-1072841","WDFW0807-01","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations","United States","Anderson Island","Pierce","WA","Anderson Is Rivera Marina",47.1516,-122.6715,"N","Y","N","N","N","Y",NA,"N",NA,NA,"N","N",NA,2007,"AUG",2,"Beach or Land","ALIVE","N","N","N","N","Y","N","N",NA,"Male","Pup",79,"cm",NA,NA,"N",NA,"Pinniped","Other","Harbor seal"
"NW-2013-1154564","WDFW2013-086","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Anderson Island","Pierce","WA","South of the Marina Dr.",47.1503,-122.6742,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2013,"SEP",3,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",80,"cm",8,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1142254","WDFW2012-016","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Anderson Island","Pierce","WA","0.25 miles East of Anderson Island Ferry",47.1737,-122.6742,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2012,"FEB",1,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",60,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2013-1152647","WDFW2013-016","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Anderson Island","Pierce","WA","By ferry terminal",47.177,-122.677,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2013,"MAR",4,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",100,"cm",10,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1120841","WDFW2010-037","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Anderson Island","Pierce","WA","1/4 mile south side of Riviera Marina",47.1471,-122.6786,"N","Y","N","Y","Y","N",NA,NA,NA,NA,NA,"N",NA,2010,"FEB",22,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",265,"cm",350,"kg","Y",NA,"Pinniped","Fisheries","California sea lion"
"NW-2011-1142224","WDFW2011-164","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Anderson Island","Pierce","WA","Thompson Cove",47.1277,-122.7039,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"SEP",15,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",60,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142225","WDFW2011-165","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Anderson Island","Pierce","WA","Thompson's Cove",47.1277,-122.7039,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"SEP",22,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",60,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142226","WDFW2011-166","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Anderson Island","Pierce","WA","Thompson's Cove",47.1277,-122.7039,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"SEP",22,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",NA,NA,NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142227","WDFW2011-167","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Anderson Island","Pierce","WA","Thompson's Cove",47.1277,-122.7039,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"OCT",15,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",NA,NA,NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142228","WDFW2011-168","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Anderson Island","Pierce","WA","Thompson's Cove",47.1277,-122.7039,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"OCT",22,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142229","WDFW2011-169","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Anderson Island","Pierce","WA","Thompson's Cove",47.1277,-122.7039,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"OCT",23,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142230","WDFW2011-170","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Anderson Island","Pierce","WA","Thompson's Cove",47.1277,-122.7039,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"OCT",23,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1093951","WDFW2009-023","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Anderson Island","Pierce","WA","SE side Oro Bay",47.1432,-122.7085,"N","N","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2009,"MAY",4,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",57,"cm",3.5,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1104263","WDFW2009-104","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Anderson Island","Pierce","WA","Anderson Island south of ferry terminal",47.295,-123.1286,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2009,"SEP",15,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",120,"cm",30,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2005-1047629","WDFW0805-04","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Anderson Island","Pierce","WA","Directly under Anderson Island ferry dock.",47.295,-123.1286,"N","CBD","N","N","N","N",NA,"N",NA,"Y","N","N",NA,2005,"AUG",11,"Beach or Land","ALIVE","N","N","N","N","Y","N","N",NA,"Female","Pup",72,"cm",5.5,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1104569","WDFW2009-062","Seal, harbor","Phoca","vitulina","WDFW/MMI","United States","Bainbridge","Kitsap","WA","10778 Seaborn rd",47.5966,-122.5052,"N","Y","N","N","N","Y",NA,"N",NA,"N","N","N","N",2009,"AUG",1,"Beach or Land","ALIVE","N","N","N","N","Y","N","N",NA,"Male","Pup",80,"cm",8.24,"kg","N",NA,"Pinniped","Other","Harbor seal"
"NW-2009-1093993","WDFW2009-014","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge","Kitsap","WA","10071 NE South Beach Dr",47.5704,-122.5235,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2009,"FEB",27,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Adult",140,"cm",60,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142162","WDFW2011-013","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Linwood center",47.4129,-122.3141,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"FEB",16,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Pup",82,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142128","WDFW2011-010","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Port Blakely park",47.5972,-122.3486,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,"N",NA,2011,"FEB",10,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Adult",154,"cm",59.5,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2014-1170934","WDFW2014-048","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Floating off Restoration Point",47.586,-122.4766,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2014,"OCT",4,"Floating","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1078125","WDFW1007-17","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Bainbridge Island","King","WA","South beach area",47.5755,-122.4878,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2007,"OCT",12,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",85,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1152451","WDFW2012-113","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","7792 Yeomalt Point Dr",47.6343,-122.4913,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2012,"JUL",30,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Unid","Pup",80,"cm",8,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2013-1152637","WDFW2013-067","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","7656 Madrona Drive NE, Yeomalt Point",47.6307,-122.4917,"N","Y","N","N","N","N",NA,NA,NA,"Y",NA,"Y","N",2013,"AUG",3,"Beach or Land","ALIVE","N","N","N","N","Y","N","N",NA,"Male","Pup",68,"cm",6.8,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1085889","WDFW2008-061","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","4908 Rockaway Beach",47.6019,-122.4928,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,"N",NA,2008,"JUN",12,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Female","Adult",139,"cm",40,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2010-1120832","WDFW2010-030","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","1792 Beans Bight Road",47.5795,-122.497,"N","CBD","N","Y","N","N",NA,NA,NA,NA,NA,"N",NA,2010,"FEB",12,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",233,"cm",300,"kg","Y",NA,"Pinniped","Gunshot","California sea lion"
"NW-2010-1132476","WDFW2010-180","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","4442 Rockaway Beach Road",47.6029,-122.4987,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2010,"OCT",18,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",80,"cm",10.9,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2014-1170920","WDFW2014-018","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","4190 Rockaway Beach",47.601,-122.499,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2014,"SEP",4,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",85,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1120872","WDFW2010-011","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Floating inside Port Madison",47.6015,-122.4991,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2010,"JAN",22,"Floating","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",230,"cm",250,"kg","N",NA,"Pinniped","NA","California sea lion"
"NW-2015-1179521","WDFW2015-033","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Rolling bay Drive",47.663,-122.5,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2015,"MAY",14,NA,"MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Subadult",130,"cm",30,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1183945","WDFW2015-109","Pinniped, unidentified",NA,NA,"WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","11099 Rolling Bay Walk",47.6641,-122.502,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2015,"NOV",23,"Floating","DEAD - CONDITION UNKNOWN","N","N","N","N","N","N","N",NA,"Unid","Unid",150,"cm",NA,NA,"N",NA,"Pinniped","NA","Unidentified"
"NW-2008-1085921","WDFW2008-076","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","10870 Broomgerrie Rd, Bainbridge Island.",47.6374,-122.5023,"N","N","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"JUN",26,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Adult",152,"cm",50,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1085907","WDFW2008-070","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Bainbridge Island 10870 Broomgerrie Rd",47.6377,-122.5026,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"JUN",17,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",50,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1078137","WDFW1107-02","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Bainbridge Island","King","WA","10692 Gertie Johnson Rd, Port Madison",47.6593,-122.5033,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2007,"NOV",1,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Pup",92,"cm",12,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2013-1152456","WDFW2013-004","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Bromgerrie Rd",47.6406,-122.504,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2013,"JAN",15,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",NA,NA,NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132462","WDFW2010-172","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","3/4 mile South of Fay Bainbridge State Park",47.696,-122.504,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"OCT",14,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132463","WDFW2010-173","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","3/4 mile South of Fay Bainbridge State Park",47.696,-122.504,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"OCT",14,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132464","WDFW2010-174","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","3/4 mile South of Fay Bainbridge State Park",47.696,-122.504,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"OCT",14,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132465","WDFW2010-175","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","3/4 mile South of Fay Bainbridge State Park",47.696,-122.504,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"OCT",14,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",NA,NA,NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132485","WDFW2010-124","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","South of Sunrise Drive",47.699,-122.504,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"AUG",24,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",80,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1078131","WDFW1007-21","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Bainbridge Island","King","WA","Fay Bainbridge State Park",47.7025,-122.5043,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2007,"OCT",28,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Pup",90,"cm",11,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1104347","WDFW2009-109","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","10897 NE Seaborn",47.5969,-122.5044,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2009,"OCT",3,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Female","Pup",83,"cm",13,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1085971","WDFW2008-033","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Faye Bainbridge State park",47.703,-122.5048,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"APR",3,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",60,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1093985","WDFW2009-001","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Faye Bainbridge State Park",47.703,-122.5065,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2009,"JAN",5,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Unid",36,"cm",50,"lb","N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142237","WDFW2011-205","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Faye Bainbridge SP",47.704,-122.507,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"DEC",18,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",36,"in",NA,NA,"N",NA,"Pinniped","NA","Harbor seal"
"NW-2013-1154566","WDFW2013-089","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Faye bainbridge State Park",47.704,-122.507,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2013,"SEP",14,"Beach or Land","ALIVE","N","N","N","N","N","N","N",NA,"Male","Pup",90,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1179527","WDFW2015-043","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Faye bainbridge State park",47.705,-122.507,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2015,"JUN",17,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",150,"cm",80,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2004-1029175","WDFW0504-01","Seal, harbor","Phoca","vitulina","Washington Department of Fish and Wildlife","United States","Bainbridge Island","King","WA","16120 Agate Point Dr. Bainbridge Island",47.704,-122.507,NA,"N","N","N","N","N",NA,NA,NA,"Y",NA,NA,NA,2004,"MAY",1,NA,"FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Yearling",105,"cm",16,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2013-1152548","WDFW2013-034","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Faye bainbridge State Park",47.704,-122.5079,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2013,"MAY",20,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",95,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2006-1065431","WDFW0706-06","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations","United States","Bainbridge Island","King","WA","Port Blakey Harbor",47.5913,-122.508,"N","CBD","N","N","N","N",NA,NA,NA,NA,"N","N",NA,2006,"JUL",19,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Female","Adult",160,"cm",80,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2013-1154571","WDFW2013-095","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Point Munroe State park",47.704,-122.508,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2013,"SEP",22,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1065349","WDFW0207-05","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations","United States","Bainbridge Island","King","WA","Eagle harbor ferry Maintiance dock",47.6191,-122.5083,"N","CBD","N","N","N","N",NA,"N",NA,NA,"N","N",NA,2007,"FEB",25,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Yearling",95,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2013-1152564","WDFW2013-073","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Point Munroe/ next to Faye bainbrdge SP",47.705,-122.5085,"N","Y","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2013,"AUG",6,"Beach or Land","ALIVE","N","N","N","N","Y","N","N",NA,"Unid","Pup",80,"cm",8,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1152537","WDFW2012-031","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","4442 Rockaway Beach, Bainbridge.",47.671,-122.5091,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2012,"MAR",8,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",100,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1179535","WDFW2015-002","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Corner of Manitou and Beachcrest Dr",47.6561,-122.5107,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2015,"JAN",10,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",245,"cm",300,"lb","Y",NA,"Pinniped","NA","California sea lion"
"NW-2014-1170924","WDFW2014-021","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Corner of Manitou Beach and Beach Crest",47.656,-122.5108,"N","Y","N","N","N","Y",NA,NA,NA,"Y",NA,"Y","N",2014,"SEP",6,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",84,"cm",15.5,"kg","Y",NA,"Pinniped","Other","Harbor seal"
