"Month.of.Observation","Date","MEI","NPGO","NOI","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","ENSO_cat","Year.of.Observation","SST_39_anom","SST_44_anom","Date_lag1","Date_lag2","Date_lag3"
"FEB",2009-02-01,-0.69,0.9093018,-1.159,10.497,8.989,-68.779,-51.4027,2.17288,1.243049,"La Nina",2009,-0.9071,-0.997199999999999,2009-02-01,2009-02-01,2009-02-01
"FEB",2006-02-01,-0.414,-1.0694165,2.257,11.76,10.397,43.2438,-56.1905,-1.27934,-0.227232,"La Nina",2006,0.3559,0.4108,2006-02-01,2006-02-01,2006-02-01
"FEB",2010-02-01,1.526,1.838936,-6.329,12.024,10.973,-81.4372,-107.134,1.2811,4.218236,"El Nino",2010,0.619899999999999,0.986800000000001,2010-02-01,2010-02-01,2010-02-01
"FEB",2014-02-01,-0.259,-0.26691276,-0.953,11.639,9.213,-31.3558,-100.9393,0.046,2.656845,"La Nina",2014,0.2349,-0.773200000000001,2014-02-01,2014-02-01,2014-02-01
"JAN",2003-01-01,1.214,1.9691832,-2.517,12.473,11.114,-117.2062,-182.9613,2.10768,4.589488,"El Nino",2003,0.800000000000001,0.887,2003-01-01,2003-01-01,2003-01-01
"JAN",2007-01-01,0.985,-0.4117224,8.058,10.82,9.697,90.2147,-13.8375,-4.66366,1.256797,"El Nino",2007,-0.853,-0.530000000000001,2007-01-01,2007-01-01,2007-01-01
"JAN",2014-01-01,-0.27,-0.38970667,3.977,11.323,8.885,31.7515,-57.7257,-1.79445,0.930283,"La Nina",2014,-0.35,-1.342,2014-01-01,2014-01-01,2014-01-01
"JAN",2013-01-01,0.103,1.2306213,6.643,10.82,9.898,59.4666,-20.9783,-3.30619,0.568775,"El Nino",2013,-0.853,-0.329000000000001,2013-01-01,2013-01-01,2013-01-01
"JAN",2004-01-01,0.332,0.26501486,-0.554,11.756,10.46,-81.5002,-191.8991,0.63042,3.428312,"El Nino",2004,0.0830000000000002,0.233000000000001,2004-01-01,2004-01-01,2004-01-01
"JAN",2016-01-01,2.216,0.9376462,-6.935,12.892,11.412,-156.9814,-205.1295,3.99288,5.763612,"El Nino",2016,1.219,1.185,2016-01-01,2016-01-01,2016-01-01
"JAN",2010-01-01,1.066,2.062816,-8.052,12.108,10.844,-183.2976,-238.7955,4.38785,6.528087,"El Nino",2010,0.435,0.616999999999999,2010-01-01,2010-01-01,2010-01-01
"JAN",2009-01-01,-0.714,0.7225751,6.754,10.93,9.327,52.4224,-35.1876,-3.62911,0.513324,"La Nina",2009,-0.743,-0.9,2009-01-01,2009-01-01,2009-01-01
"JAN",2006-01-01,-0.428,-0.6465035,4.121,12.686,11.455,-18.2532,-175.2138,1.18235,6.284409,"La Nina",2006,1.013,1.228,2006-01-01,2006-01-01,2006-01-01
"JAN",2012-01-01,-0.98,0.833666,4.865,10.922,9.178,-8.3258,-126.6921,-1.25728,3.331843,"La Nina",2012,-0.750999999999999,-1.049,2012-01-01,2012-01-01,2012-01-01
"JUL",2015-07-01,1.987,-1.474117,-4.051,13.871,15.103,129.4533,41.7381,-1.80329,-2.686903,"El Nino",2015,1.7342,1.7837,2015-07-01,2015-07-01,2015-07-01
"JUL",2008-07-01,0.089,1.427494,-1.584,11.601,11.409,167.3208,48.9607,-4.68589,-3.360594,"El Nino",2008,-0.5358,-1.9103,2008-07-01,2008-07-01,2008-07-01
"JUL",2003-07-01,0.178,1.2024409,0.286,10.35,13.854,283.0269,52.1439,-3.95479,-3.902294,"El Nino",2003,-1.7868,0.534699999999999,2003-07-01,2003-07-01,2003-07-01
"JUL",2005-07-01,0.519,-1.6639054,-0.195,11.867,14.395,158.1158,60.9758,-3.17258,-4.233065,"El Nino",2005,-0.2698,1.0757,2005-07-01,2005-07-01,2005-07-01
"JUL",2004-07-01,0.574,0.41156805,-1.063,13.308,14.649,99.76,40.3652,-2.92668,-3.062382,"El Nino",2004,1.1712,1.3297,2004-07-01,2004-07-01,2004-07-01
"JUL",2013-07-01,-0.311,0.45131078,0.47,11.352,11.758,288.5924,84.1982,-3.6358,-6.171371,"La Nina",2013,-0.784800000000001,-1.5613,2013-07-01,2013-07-01,2013-07-01
"JUL",2014-07-01,0.921,-0.13370799,-0.953,13.143,12.842,220.6155,53.7198,-3.07665,-3.632392,"El Nino",2014,1.0062,-0.4773,2014-07-01,2014-07-01,2014-07-01
"JUL",2009-07-01,1.06,0.56042695,0.195,11.086,11.874,146.651,43.2202,-4.53831,-3.049328,"El Nino",2009,-1.0508,-1.4453,2009-07-01,2009-07-01,2009-07-01
"JUL",2011-07-01,-0.191,1.0352043,-0.393,13.857,14.796,220.3048,37.7367,-1.26364,-2.302742,"La Nina",2011,1.7202,1.4767,2011-07-01,2011-07-01,2011-07-01
"JUL",2010-07-01,-1.099,1.14574,-0.044,10.933,12.513,195.8654,60.2981,-2.75739,-5.553091,"La Nina",2010,-1.2038,-0.8063,2010-07-01,2010-07-01,2010-07-01
"JUN",2003-06-01,0.107,0.77769154,-2.216,10.304,13.314,346.5649,60.6662,-3.33597,-3.996523,"El Nino",2003,-0.4207,-0.403599999999999,2003-06-01,2003-06-01,2003-06-01
"JUN",2004-06-01,0.315,0.7764751,0.547,10.602,14.947,188.2307,40.5031,-4.54417,-2.980223,"El Nino",2004,-0.1227,1.2294,2004-06-01,2004-06-01,2004-06-01
"JUN",2010-06-01,-0.228,1.2382194,2.772,10.204,13.473,280.1967,15.0557,-6.73222,-3.357222,"La Nina",2010,-0.5207,-0.244599999999998,2010-06-01,2010-06-01,2010-06-01
"JUN",2007-06-01,-0.155,1.2324307,3.25,10.749,14.055,209.1233,14.1568,-5.58815,-1.159497,"La Nina",2007,0.0243000000000002,0.337400000000001,2007-06-01,2007-06-01,2007-06-01
"JUN",2008-06-01,0.142,1.2788393,1.47,9.242,12.283,288.121,42.7619,-6.68289,-3.081528,"El Nino",2008,-1.4827,-1.4346,2008-06-01,2008-06-01,2008-06-01
"JUN",2013-06-01,-0.094,0.7265816,1.163,11.037,14.174,265.8537,18.4203,-3.86778,-1.304868,"La Nina",2013,0.3123,0.4564,2013-06-01,2013-06-01,2013-06-01
"JUN",2015-06-01,2.097,-1.2495428,-1.473,11.78,12.536,243.1799,70.4342,-3.76146,-5.366901,"El Nino",2015,1.0553,-1.1816,2015-06-01,2015-06-01,2015-06-01
"JUN",2005-06-01,0.589,-1.2837522,1.027,10.989,15.404,197.1365,18.7469,-3.68958,-2.280529,"El Nino",2005,0.2643,1.6864,2005-06-01,2005-06-01,2005-06-01
"JUN",2009-06-01,0.751,0.37008104,-2.38,11.414,13.457,171.9553,37.1074,-4.77014,-2.28637,"El Nino",2009,0.689299999999999,-0.260599999999998,2009-06-01,2009-06-01,2009-06-01
"JUN",2014-06-01,1.046,-0.4166303,0.565,10.926,13.533,387.6814,36.4109,-5.99021,-3.188611,"El Nino",2014,0.2013,-0.1846,2014-06-01,2014-06-01,2014-06-01
"MAR",2008-03-01,-1.552,1.3746045,8.118,9.904,8.99,115.7752,-13.8064,-4.47245,2.011075,"La Nina",2008,-1.2125,-1.151,2008-03-01,2008-03-01,2008-03-01
"MAR",2014-03-01,0.018,-0.45373875,-0.602,11.724,10.281,58.3447,-77.1942,-1.6011,2.579784,"El Nino",2014,0.6075,0.140000000000001,2014-03-01,2014-03-01,2014-03-01
"MAR",2013-03-01,-0.026,0.64256865,2.063,9.605,9.165,90.9275,-19.2453,-3.819,0.63782,"La Nina",2013,-1.5115,-0.976000000000001,2013-03-01,2013-03-01,2013-03-01
"MAR",2004-03-01,-0.036,0.38293236,5.006,11.062,10.456,109.6707,-36.6857,-4.21146,-0.115612,"La Nina",2004,-0.0545000000000009,0.315,2004-03-01,2004-03-01,2004-03-01
"MAR",2003-03-01,0.83,1.4907115,-0.57,11.657,10.547,-13.983,-146.866,-1.58735,4.627126,"El Nino",2003,0.5405,0.406000000000001,2003-03-01,2003-03-01,2003-03-01
"MAR",2007-03-01,0.125,-0.54892534,5.106,10.793,10.042,115.9049,-13.1684,-4.16969,2.198372,"El Nino",2007,-0.323500000000001,-0.0990000000000002,2007-03-01,2007-03-01,2007-03-01
"MAR",2009-03-01,-0.705,0.3312593,4.57,10.323,9.344,109.9466,-22.6698,-4.51882,1.356662,"La Nina",2009,-0.7935,-0.797000000000001,2009-03-01,2009-03-01,2009-03-01
"MAR",2006-03-01,-0.521,-0.7099621,-0.108,11.381,10.19,-35.8389,-137.562,2.00431,5.313298,"La Nina",2006,0.2645,0.0489999999999995,2006-03-01,2006-03-01,2006-03-01
"MAR",2010-03-01,1.462,1.6534425,-0.178,11.732,10.841,33.3549,-53.8908,-1.25935,2.578841,"El Nino",2010,0.615499999999999,0.699999999999999,2010-03-01,2010-03-01,2010-03-01
"MAR",2016-03-01,1.963,0.4720812,-2.065,12.984,11.554,-7.3882,-160.3328,0.07782,4.019515,"El Nino",2016,1.8675,1.413,2016-03-01,2016-03-01,2016-03-01
"MAY",2015-05-01,1.583,-0.7200374,-2.497,10.547,12.681,200.4047,43.5523,-4.97258,-5.491542,"El Nino",2015,-0.345727272727272,0.217272727272727,2015-05-01,2015-05-01,2015-05-01
"MAY",2005-05-01,0.885,-0.79030764,-2.468,12.929,13.508,74.5523,-15.9308,-1.5914,1.256317,"El Nino",2005,2.03627272727273,1.04427272727273,2005-05-01,2005-05-01,2005-05-01
"MAY",2008-05-01,-0.345,1.7382507,0.569,9.65,11.526,273.5483,37.2803,-6.30837,-3.025437,"La Nina",2008,-1.24272727272727,-0.937727272727273,2008-05-01,2008-05-01,2008-05-01
"MAY",2007-05-01,0.348,0.6913841,2.032,10.109,11.412,185.3527,48.9892,-5.34845,-3.941081,"El Nino",2007,-0.783727272727273,-1.05172727272727,2007-05-01,2007-05-01,2007-05-01
"MAY",2010-05-01,0.658,1.8660371,3.498,10.131,11.98,127.5269,-11.505,-4.15121,-0.712769,"El Nino",2010,-0.761727272727272,-0.483727272727272,2010-05-01,2010-05-01,2010-05-01
"MAY",2014-05-01,1.001,0.22740889,1.391,11.643,13.419,196.983,1.4276,-5.52287,-0.799034,"El Nino",2014,0.750272727272728,0.955272727272728,2014-05-01,2014-05-01,2014-05-01
"MAY",2003-05-01,0.214,0.9192588,-0.762,10.437,12.669,266.3612,26.8439,-4.61815,-2.649194,"El Nino",2003,-0.455727272727273,0.205272727272728,2003-05-01,2003-05-01,2003-05-01
"MAY",2004-05-01,0.558,0.20735337,1.529,11.968,13.996,86.1121,11.2105,-4.41876,-0.917814,"El Nino",2004,1.07527272727273,1.53227272727273,2004-05-01,2004-05-01,2004-05-01
