Date,Wind_44
1991-11-01T00:00:00Z,2.522059
1991-12-01T00:00:00Z,2.478155
1992-01-01T00:00:00Z,3.103972
1992-03-01T00:00:00Z,-2.125921
1992-04-01T00:00:00Z,1.688687
1992-05-01T00:00:00Z,-5.145676
1992-06-01T00:00:00Z,-2.235854
1992-07-01T00:00:00Z,-3.112449
1992-08-01T00:00:00Z,-2.553981
1992-09-01T00:00:00Z,-1.609659
1992-10-01T00:00:00Z,-0.006812
1992-11-01T00:00:00Z,1.431224
1992-12-01T00:00:00Z,1.810505
1993-01-01T00:00:00Z,2.138567
1993-02-01T00:00:00Z,0.189655
1993-03-01T00:00:00Z,1.338897
1993-04-01T00:00:00Z,4.356417
1993-05-01T00:00:00Z,1.52967
1993-06-01T00:00:00Z,-2.167194
1993-07-01T00:00:00Z,-3.36863
1993-08-01T00:00:00Z,-2.742179
1993-09-01T00:00:00Z,-2.538507
1993-10-01T00:00:00Z,-0.338798
1993-11-01T00:00:00Z,-0.85538
1993-12-01T00:00:00Z,7.316981
1994-03-01T00:00:00Z,1.086861
1994-04-01T00:00:00Z,0.074722
1994-05-01T00:00:00Z,-1.704871
1994-06-01T00:00:00Z,-1.605292
1994-07-01T00:00:00Z,-4.56685
1994-08-01T00:00:00Z,-1.923378
1995-05-01T00:00:00Z,-3.992049
1995-06-01T00:00:00Z,-1.833986
1995-07-01T00:00:00Z,-2.307692
1995-08-01T00:00:00Z,-1.641791
1995-09-01T00:00:00Z,-0.291888
1995-10-01T00:00:00Z,-0.962027
1995-11-01T00:00:00Z,4.003792
1995-12-01T00:00:00Z,3.858514
1996-01-01T00:00:00Z,1.535967
1996-02-01T00:00:00Z,2.437861
1996-03-01T00:00:00Z,-0.367297
1996-04-01T00:00:00Z,4.054381
1996-05-01T00:00:00Z,-2.340872
1996-06-01T00:00:00Z,-3.301697
1996-07-01T00:00:00Z,-3.960352
1996-08-01T00:00:00Z,-1.444195
1997-01-01T00:00:00Z,1.692525
1997-09-01T00:00:00Z,1.426071
1997-10-01T00:00:00Z,0.795955
1997-11-01T00:00:00Z,3.759064
1997-12-01T00:00:00Z,1.757143
1998-01-01T00:00:00Z,4.790244
1998-05-01T00:00:00Z,-1.719134
1998-06-01T00:00:00Z,-4.113853
1998-07-01T00:00:00Z,-2.712311
1998-08-01T00:00:00Z,-5.842927
1998-09-01T00:00:00Z,-3.68913
1998-10-01T00:00:00Z,1.78502
1998-11-01T00:00:00Z,6.494678
1998-12-01T00:00:00Z,3.468947
1999-01-01T00:00:00Z,3.580676
1999-02-01T00:00:00Z,8.036128
1999-03-01T00:00:00Z,4.80736
1999-04-01T00:00:00Z,-3.112254
1999-05-01T00:00:00Z,-1.645087
1999-06-01T00:00:00Z,-1.840252
1999-07-01T00:00:00Z,-3.64866
1999-08-01T00:00:00Z,-1.760959
1999-09-01T00:00:00Z,-4.651003
1999-10-01T00:00:00Z,-0.597683
1999-11-01T00:00:00Z,5.391176
1999-12-01T00:00:00Z,2.460916
2000-01-01T00:00:00Z,2.879367
2000-02-01T00:00:00Z,2.807547
2000-03-01T00:00:00Z,0.360516
2000-04-01T00:00:00Z,-0.08429
2000-05-01T00:00:00Z,-0.274684
2000-06-01T00:00:00Z,-3.72636
2000-07-01T00:00:00Z,-2.477297
2000-08-01T00:00:00Z,-3.368059
2000-09-01T00:00:00Z,-0.92128
