Date,Upwelling_39
1979-03-01T00:00:00Z,26.5408
1979-04-01T00:00:00Z,43.0588
1979-05-01T00:00:00Z,231.6572
1979-06-01T00:00:00Z,201.5069
1979-07-01T00:00:00Z,149.9956
1979-08-01T00:00:00Z,116.8524
1979-09-01T00:00:00Z,88.7812
1979-10-01T00:00:00Z,2.2279
1979-11-01T00:00:00Z,-40.5744
1979-12-01T00:00:00Z,-93.9107
1980-01-01T00:00:00Z,-23.2218
1980-02-01T00:00:00Z,-116.1399
1980-03-01T00:00:00Z,132.5793
1980-04-01T00:00:00Z,111.9506
1980-05-01T00:00:00Z,171.7757
1980-06-01T00:00:00Z,169.5913
1980-07-01T00:00:00Z,171.9068
1980-08-01T00:00:00Z,222.6756
1980-09-01T00:00:00Z,102.5546
1980-10-01T00:00:00Z,56.5511
1980-11-01T00:00:00Z,13.0359
1980-12-01T00:00:00Z,-59.4178
1981-01-01T00:00:00Z,-177.2686
1981-02-01T00:00:00Z,-15.1072
1981-03-01T00:00:00Z,55.8387
1981-04-01T00:00:00Z,110.3548
1981-05-01T00:00:00Z,119.3568
1981-06-01T00:00:00Z,165.5047
1981-07-01T00:00:00Z,176.9494
1981-08-01T00:00:00Z,101.987
1981-09-01T00:00:00Z,59.876
1981-10-01T00:00:00Z,20.6334
1981-11-01T00:00:00Z,-40.7962
1981-12-01T00:00:00Z,-79.1472
1982-01-01T00:00:00Z,35.517
1982-02-01T00:00:00Z,-29.935
1982-03-01T00:00:00Z,-33.3213
1982-04-01T00:00:00Z,4.9189
1982-05-01T00:00:00Z,196.9059
1982-06-01T00:00:00Z,56.0071
1982-07-01T00:00:00Z,85.3937
1982-08-01T00:00:00Z,47.3868
1982-09-01T00:00:00Z,96.2645
1982-10-01T00:00:00Z,-18.347
1982-11-01T00:00:00Z,-10.0375
1982-12-01T00:00:00Z,-76.6802
1983-01-01T00:00:00Z,-151.1493
1983-02-01T00:00:00Z,-148.7766
1983-03-01T00:00:00Z,-106.3866
1983-04-01T00:00:00Z,42.5853
1983-05-01T00:00:00Z,81.6358
1983-06-01T00:00:00Z,122.6472
1983-07-01T00:00:00Z,104.5383
1983-08-01T00:00:00Z,62.7014
1983-09-01T00:00:00Z,104.8358
1983-10-01T00:00:00Z,14.9652
1983-11-01T00:00:00Z,-77.6566
1983-12-01T00:00:00Z,-45.3993
1984-01-01T00:00:00Z,33.3553
1984-02-01T00:00:00Z,-15.6308
1984-03-01T00:00:00Z,23.4889
1984-04-01T00:00:00Z,67.4451
1984-05-01T00:00:00Z,70.5665
1984-06-01T00:00:00Z,172.5332
1984-07-01T00:00:00Z,165.9213
1984-08-01T00:00:00Z,73.4897
1984-09-01T00:00:00Z,94.4551
1984-10-01T00:00:00Z,42.4119
1984-11-01T00:00:00Z,-60.5195
1984-12-01T00:00:00Z,19.3715
1985-01-01T00:00:00Z,13.7696
1985-02-01T00:00:00Z,95.3889
1985-03-01T00:00:00Z,50.6286
1985-04-01T00:00:00Z,60.5853
1985-05-01T00:00:00Z,60.0984
1985-06-01T00:00:00Z,125.0941
1985-07-01T00:00:00Z,83.4915
1985-08-01T00:00:00Z,70.6666
1985-09-01T00:00:00Z,60.5964
1985-10-01T00:00:00Z,56.1736
1985-11-01T00:00:00Z,25.8979
1985-12-01T00:00:00Z,-45.8026
1986-01-01T00:00:00Z,-122.8947
1986-02-01T00:00:00Z,-83.9912
1986-03-01T00:00:00Z,-23.1609
1986-04-01T00:00:00Z,87.3898
1986-05-01T00:00:00Z,60.2376
1986-06-01T00:00:00Z,79.9384
1986-07-01T00:00:00Z,128.2246
1986-08-01T00:00:00Z,88.6037
1986-09-01T00:00:00Z,47.9876
1986-10-01T00:00:00Z,34.1803
1986-11-01T00:00:00Z,47.8276
1986-12-01T00:00:00Z,-40.9139
1987-01-01T00:00:00Z,-44.9952
1987-02-01T00:00:00Z,26.843
