Date,CBA_South
1996-06-01T00:00:00Z,0.07672886
1996-07-01T00:00:00Z,-0.089813285
1996-08-01T00:00:00Z,-0.033057872
1996-09-01T00:00:00Z,0.051593713
1996-10-01T00:00:00Z,-0.008431328
1996-11-01T00:00:00Z,-0.07390031
1996-12-01T00:00:00Z,0.023697408
1997-02-01T00:00:00Z,0.021350231
1997-03-01T00:00:00Z,-0.04084831
1997-04-01T00:00:00Z,0.12854423
1997-05-01T00:00:00Z,-0.09840807
1997-06-01T00:00:00Z,-0.102126695
1997-07-01T00:00:00Z,0.083475605
1997-08-01T00:00:00Z,0.19213842
1997-09-01T00:00:00Z,0.4331215
1997-10-01T00:00:00Z,0.39051867
1997-11-01T00:00:00Z,0.3446108
1997-12-01T00:00:00Z,0.072386295
1998-01-01T00:00:00Z,0.08946621
1998-03-01T00:00:00Z,0.2844128
1998-04-01T00:00:00Z,0.2657998
1998-05-01T00:00:00Z,0.44425118
1998-06-01T00:00:00Z,0.58684736
1998-07-01T00:00:00Z,0.7080867
1998-08-01T00:00:00Z,0.6952884
1998-09-01T00:00:00Z,0.564127
1998-10-01T00:00:00Z,0.23529646
1998-11-01T00:00:00Z,0.26030526
1998-12-01T00:00:00Z,-0.10323592
1999-02-01T00:00:00Z,-0.046905324
1999-03-01T00:00:00Z,-0.023070535
1999-04-01T00:00:00Z,-0.03720207
1999-05-01T00:00:00Z,-0.17080992
1999-06-01T00:00:00Z,-0.23809336
1999-07-01T00:00:00Z,-0.1799955
1999-08-01T00:00:00Z,-0.24445231
1999-09-01T00:00:00Z,-0.32070073
1999-10-01T00:00:00Z,-0.185748
1999-11-01T00:00:00Z,-0.5485003
1999-12-01T00:00:00Z,-0.15446927
2000-01-01T00:00:00Z,-0.4218449
2000-02-01T00:00:00Z,-0.27302754
2000-03-01T00:00:00Z,-0.33052608
2000-04-01T00:00:00Z,-0.36338356
2000-05-01T00:00:00Z,-0.31640437
2000-06-01T00:00:00Z,-0.22798447
2000-07-01T00:00:00Z,-0.21489106
2000-08-01T00:00:00Z,-0.13856898
2000-09-01T00:00:00Z,-0.13653222
2000-10-01T00:00:00Z,-0.26738134
2000-11-01T00:00:00Z,-0.23060031
2000-12-01T00:00:00Z,0.02211963
2001-01-01T00:00:00Z,-0.09546713
2001-02-01T00:00:00Z,-0.1606331
2001-03-01T00:00:00Z,-0.08382609
2001-04-01T00:00:00Z,-0.29929096
