"Year.of.Observation","Cetacean.Common.Name","cnt_all","strand_anom","cnt_HI","mean_HI","strand_anom_HI","MEI","NPGO","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","SST_39_anom","SST_44_anom"
2003,"Bairds beaked whale",2,0.75,1,1,0,0.51675,0.9585072025,0.969166666666667,11.7205833333333,11.9773333333333,87.0250666666667,-46.2091,-1.57058083333333,0.341928083333333,-0.143329594017094,-0.0911904990842492
2003,"Gray whale",5,-3.73333333333333,1,2.4,-1.4,0.51675,0.9585072025,0.969166666666667,11.7205833333333,11.9773333333333,87.0250666666667,-46.2091,-1.57058083333333,0.341928083333333,-0.143329594017094,-0.0911904990842492
2003,"Harbor porpoise",34,-29.8666666666667,1,12.3571428571429,-11.3571428571429,0.51675,0.9585072025,0.969166666666667,11.7205833333333,11.9773333333333,87.0250666666667,-46.2091,-1.57058083333333,0.341928083333333,-0.143329594017094,-0.0911904990842492
2003,"Other",1,-0.4,1,1.5,-0.5,0.51675,0.9585072025,0.969166666666667,11.7205833333333,11.9773333333333,87.0250666666667,-46.2091,-1.57058083333333,0.341928083333333,-0.143329594017094,-0.0911904990842492
2003,"Pacific white-sided dolphin",2,-0.230769230769231,1,1.2,-0.2,0.51675,0.9585072025,0.969166666666667,11.7205833333333,11.9773333333333,87.0250666666667,-46.2091,-1.57058083333333,0.341928083333333,-0.143329594017094,-0.0911904990842492
2003,"Stejnegers beaked whale",1,-0.5,1,1,0,0.51675,0.9585072025,0.969166666666667,11.7205833333333,11.9773333333333,87.0250666666667,-46.2091,-1.57058083333333,0.341928083333333,-0.143329594017094,-0.0911904990842492
2004,"Gray whale",6,-2.73333333333333,2,2.4,-0.4,0.47725,0.209460254416667,0.345,12.1420833333333,12.5106666666667,60.149925,-30.3241666666667,-2.25205583333333,-0.277037166666667,0.278170405982906,0.442142834249084
2004,"Harbor porpoise",33,-30.8666666666667,5,12.3571428571429,-7.35714285714286,0.47725,0.209460254416667,0.345,12.1420833333333,12.5106666666667,60.149925,-30.3241666666667,-2.25205583333333,-0.277037166666667,0.278170405982906,0.442142834249084
2005,"Gray whale",17,8.26666666666667,4,2.4,1.6,0.369333333333333,-1.38088173666667,0.375,12.2713333333333,12.7262222222222,59.0830166666667,-22.123925,-1.6639125,-0.526458222222222,0.407420405982907,0.0501519841269836
2006,"Fin whale",3,1.2,2,1.5,0.5,0.35025,-0.55398595,0.190833333333333,12.24875,11.7273333333333,89.6762416666667,-33.9206416666667,-0.45088,1.398406,0.243055288461539,-0.341190499084249
2006,"Gray whale",15,6.26666666666667,4,2.4,1.6,0.35025,-0.55398595,0.190833333333333,12.24875,11.7273333333333,89.6762416666667,-33.9206416666667,-0.45088,1.398406,0.243055288461539,-0.341190499084249
2006,"Harbor porpoise",68,4.13333333333333,7,12.3571428571429,-5.35714285714286,0.35025,-0.55398595,0.190833333333333,12.24875,11.7273333333333,89.6762416666667,-33.9206416666667,-0.45088,1.398406,0.243055288461539,-0.341190499084249
2006,"Humpback whale",2,-0.923076923076923,1,1.71428571428571,-0.714285714285714,0.35025,-0.55398595,0.190833333333333,12.24875,11.7273333333333,89.6762416666667,-33.9206416666667,-0.45088,1.398406,0.243055288461539,-0.341190499084249
2006,"Striped dolphin",4,-0.727272727272728,1,1.5,-0.5,0.35025,-0.55398595,0.190833333333333,12.24875,11.7273333333333,89.6762416666667,-33.9206416666667,-0.45088,1.398406,0.243055288461539,-0.341190499084249
2007,"Dalls porpoise",5,-0.357142857142857,1,1.5,-0.5,-0.292833333333333,0.593367138333333,-0.195833333333333,11.5585454545455,12.0481818181818,101.763666666667,-17.00995,-3.17293,-0.0447354545454545,-0.280609557109557,-0.111448076923077
2007,"Gray whale",8,-0.733333333333333,2,2.4,-0.4,-0.292833333333333,0.593367138333333,-0.195833333333333,11.5585454545455,12.0481818181818,101.763666666667,-17.00995,-3.17293,-0.0447354545454545,-0.280609557109557,-0.111448076923077
2007,"Harbor porpoise",52,-11.8666666666667,8,12.3571428571429,-4.35714285714286,-0.292833333333333,0.593367138333333,-0.195833333333333,11.5585454545455,12.0481818181818,101.763666666667,-17.00995,-3.17293,-0.0447354545454545,-0.280609557109557,-0.111448076923077
2007,"Humpback whale",2,-0.923076923076923,1,1.71428571428571,-0.714285714285714,-0.292833333333333,0.593367138333333,-0.195833333333333,11.5585454545455,12.0481818181818,101.763666666667,-17.00995,-3.17293,-0.0447354545454545,-0.280609557109557,-0.111448076923077
2007,"Killer whale",1,-0.444444444444444,1,1,0,-0.292833333333333,0.593367138333333,-0.195833333333333,11.5585454545455,12.0481818181818,101.763666666667,-17.00995,-3.17293,-0.0447354545454545,-0.280609557109557,-0.111448076923077
2007,"Sperm whale",2,0.583333333333333,1,1.25,-0.25,-0.292833333333333,0.593367138333333,-0.195833333333333,11.5585454545455,12.0481818181818,101.763666666667,-17.00995,-3.17293,-0.0447354545454545,-0.280609557109557,-0.111448076923077
2008,"Gray whale",4,-4.73333333333333,1,2.4,-1.4,-0.634083333333333,1.45521991333333,-1.2925,10.93375,11.6178,116.512108333333,-8.4657,-3.3257075,-0.8010407,-0.930162927350427,-0.802798928571428
2008,"Harbor porpoise",53,-10.8666666666667,4,12.3571428571429,-8.35714285714286,-0.634083333333333,1.45521991333333,-1.2925,10.93375,11.6178,116.512108333333,-8.4657,-3.3257075,-0.8010407,-0.930162927350427,-0.802798928571428
2008,"Humpback whale",4,1.07692307692308,3,1.71428571428571,1.28571428571429,-0.634083333333333,1.45521991333333,-1.2925,10.93375,11.6178,116.512108333333,-8.4657,-3.3257075,-0.8010407,-0.930162927350427,-0.802798928571428
