Date,MEI,NPGO,PDO,SST_39,SST_44,Upwelling_39,Upwelling_45,Wind_39,Wind_44,ENSO_cat
1/1/94,1.069,-2.3542967,1.41,12.795,11.932,23.4862,-0.9758,-1.65954,-0.338798,El Nino
2/1/94,0.834,-2.9986691,1.24,12.481,10.454,58.9534,-9.0478,-2.40578,-0.85538,El Nino
3/1/94,0.589,-2.0005527,1.07,12.348,10.007,-47.1615,-143.8541,1.05141,7.316981,El Nino
4/1/94,0.353,-1.8540143,1.21,12.182,NA,-13.4808,-63.1586,0.3289,NA,El Nino
5/1/94,0.197,-1.9786652,0.59,12.045,NA,-16.7683,-70.4492,0.09026,NA,El Nino
6/1/94,0.174,-1.8557886,0.8,11.863,10.221,20.7789,-47.2325,-2.07323,1.086861,El Nino
7/1/94,0.465,-1.4470739,1.05,10.916,11.053,82.7189,-13.0245,-4.58895,0.074722,El Nino
8/1/94,0.573,-0.30135894,1.23,10.588,12.663,92.4802,9.9353,-4.38638,-1.704871,El Nino
9/1/94,0.788,-0.61160344,0.46,10.475,14.044,104.426,1.7441,-5.85155,-1.605292,El Nino
10/1/94,0.88,-0.71112967,0.06,10.951,NA,167.9618,50.7626,-4.42696,-4.56685,El Nino
11/1/94,0.773,-0.85876787,-0.79,11.453,NA,106.979,12.9881,-5.33473,-1.923378,El Nino
12/1/94,0.908,-1.1048639,-1.36,13.543,NA,62.7157,22.8234,-2.38378,NA,El Nino
1/1/95,1.407,-1.1107256,-1.32,12.428,NA,85.2593,-29.5655,-3.45335,NA,El Nino
2/1/95,1.299,-1.6884391,-1.96,11.218,NA,38.1769,-49.6965,-2.11907,NA,El Nino
3/1/95,1.237,-1.0167549,-1.79,11.241,NA,-50.2108,-176.2114,0.55668,NA,El Nino
4/1/95,1.22,-0.49903342,-0.49,11.597,NA,-282.4014,-227.6977,5.5367,NA,El Nino
5/1/95,0.961,-1.5608722,0.46,12.176,NA,-5.713,-46.9077,-0.66432,NA,El Nino
