Date,CBA_North
2009-05-01T00:00:00Z,0.62150276
2009-06-01T00:00:00Z,0.12787841
2009-07-01T00:00:00Z,0.11169602
2009-08-01T00:00:00Z,0.20311373
2009-09-01T00:00:00Z,-0.30285105
2009-10-01T00:00:00Z,-0.28257176
2009-11-01T00:00:00Z,-0.07613148
2009-12-01T00:00:00Z,0.20312667
2010-02-01T00:00:00Z,-0.66334134
2010-03-01T00:00:00Z,0.037531372
2010-04-01T00:00:00Z,-0.79605067
2010-05-01T00:00:00Z,-0.18355277
2010-06-01T00:00:00Z,0.22350064
2010-07-01T00:00:00Z,0.24603769
2010-08-01T00:00:00Z,0.29550263
2010-09-01T00:00:00Z,0.23259895
2010-10-01T00:00:00Z,0.44057825
2010-11-01T00:00:00Z,0.033368517
2011-01-01T00:00:00Z,0.13725416
2011-02-01T00:00:00Z,0.5042753
2011-03-01T00:00:00Z,1.0504647
2011-04-01T00:00:00Z,0.7271327
2011-05-01T00:00:00Z,0.848925
2011-06-01T00:00:00Z,0.35330063
2011-07-01T00:00:00Z,0.48614603
2011-08-01T00:00:00Z,-0.0193196
2011-09-01T00:00:00Z,0.5062289
2011-10-01T00:00:00Z,0.037511572
2011-11-01T00:00:00Z,-0.006414815
2011-12-01T00:00:00Z,0.28512666
2012-01-01T00:00:00Z,0.9918708
2012-02-01T00:00:00Z,1.014542
2012-03-01T00:00:00Z,0.94226474
2012-04-01T00:00:00Z,0.022732679
2012-05-01T00:00:00Z,0.348425
2012-06-01T00:00:00Z,0.5314562
2012-07-01T00:00:00Z,0.4745738
2012-08-01T00:00:00Z,0.46974707
2012-09-01T00:00:00Z,0.14492673
2012-10-01T00:00:00Z,-0.18908842
2012-11-01T00:00:00Z,-0.34003147
2012-12-01T00:00:00Z,-0.15317333
2013-01-01T00:00:00Z,0.1300375
2013-02-01T00:00:00Z,0.17180867
2013-03-01T00:00:00Z,0.7242397
2013-04-01T00:00:00Z,0.779916
2013-05-01T00:00:00Z,0.744825
2013-06-01T00:00:00Z,0.46141174
2013-07-01T00:00:00Z,-0.08110398
2013-08-01T00:00:00Z,0.28051373
2013-09-01T00:00:00Z,-0.033634383
2013-10-01T00:00:00Z,-0.15348843
2013-11-01T00:00:00Z,0.22265185
2013-12-01T00:00:00Z,-0.12054
2014-01-01T00:00:00Z,0.2440375
2014-02-01T00:00:00Z,0.55032533
2014-03-01T00:00:00Z,0.81229806
2014-04-01T00:00:00Z,0.34304935
2014-05-01T00:00:00Z,0.60634166
2014-06-01T00:00:00Z,0.12530063
2014-07-01T00:00:00Z,0.24884602
2014-08-01T00:00:00Z,0.2537304
2014-09-01T00:00:00Z,0.063304506
2014-10-01T00:00:00Z,-0.6363218
2014-11-01T00:00:00Z,-1.0650648
2014-12-01T00:00:00Z,-0.62050664
2015-01-01T00:00:00Z,-0.5389847
2015-02-01T00:00:00Z,-0.83999133
2015-03-01T00:00:00Z,-0.731752
2015-04-01T00:00:00Z,-1.130984
2015-05-01T00:00:00Z,-0.17110834
2015-06-01T00:00:00Z,0.05997841
2015-07-01T00:00:00Z,0.07100713
2015-08-01T00:00:00Z,-0.40785292
2015-09-01T00:00:00Z,-0.9597677
