"Sex","All Strandings (%)","Prevalence of HI (%)","Fisheries Interactions (%)","Gunshots (%)","Boat Injuries (%)","Other (%)"
"Female",17,16,17,32,6,45
"Male",33,17,15,47,5,33
"Unid",50,5,35,20,3,42
