"Age.Class","Total (N)","Female (N)","Female (%)","Male (N)","Male (%)","Unid. (N)","Unid. (%)"
"Pup","4242","1085","25.6","1135","26.8","2022","47.7"
"Yearling","998","178","17.8","313","31.4","507","50.8"
"Subadult","936","109","11.6","523","55.9","304","32.5"
"Adult","3444","606","17.6","2084","60.5","754","21.9"
"Unid","5319","592","11.1","966","18.2","3761","70.7"
"Average","--","--","16.7","--","38.6","--","44.7"
"Average","--","--","16.7","--","38.6","--","44.7"
