"Species","Number","Percent"
"California sea lion",2823,19
"Guadalupe fur seal",165,1
"Harbor seal",8730,58
"Northern elephant seal",445,3
"Northern fur seal",122,1
"Steller sea lion",1040,7
"Unidentified",1614,11
