"Age","Female (N)","Female (%)","Male (N)","Male (%)","Unid. (N)","Unid. (%)"
"Pup","1014","26","1072","27","1856","47"
"Yearling","168","18","287","31","468","51"
"Subadult","106","12","482","55","295","33"
"Adult","567","18","1896","60","706","22"
"Unid","584","11","960","18","3706","71"
NA,"--","17","--","38.2","--","44.8"
